algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
KaHyPar-HFC,ISPD98_ibm10.hgr,no,1,2,0.03,1,0.00178597,5.45542,km1,1369,1369,no
KaHyPar-HFC,ISPD98_ibm10.hgr,no,2,2,0.03,1,0.00178597,4.92624,km1,1369,1369,no
KaHyPar-HFC,ISPD98_ibm10.hgr,no,1,32,0.03,1,0.0299539,18.9754,km1,9906,9065,no
KaHyPar-HFC,ISPD98_ibm10.hgr,no,2,32,0.03,1,0.0299539,20.9722,km1,9968,9160,no
KaHyPar-HFC,ISPD98_ibm10.hgr,no,1,8,0.03,1,0.0288052,17.4854,km1,4570,4448,no
KaHyPar-HFC,ISPD98_ibm10.hgr,no,2,8,0.03,1,0.0281138,19.1369,km1,4504,4385,no
KaHyPar-HFC,ISPD98_ibm11.hgr,no,1,2,0.03,1,0.0289124,7.30705,km1,1062,1062,no
KaHyPar-HFC,ISPD98_ibm11.hgr,no,2,2,0.03,1,0.0273817,4.81697,km1,1078,1078,no
KaHyPar-HFC,ISPD98_ibm11.hgr,no,1,32,0.03,1,0.029932,18.4805,km1,8748,8075,no
KaHyPar-HFC,ISPD98_ibm11.hgr,no,2,32,0.03,1,0.029932,16.8591,km1,8767,8108,no
KaHyPar-HFC,ISPD98_ibm11.hgr,no,1,8,0.03,1,0.0208617,10.8517,km1,4071,3926,no
KaHyPar-HFC,ISPD98_ibm11.hgr,no,2,8,0.03,1,0.0184807,9.5033,km1,4082,3957,no
KaHyPar-HFC,ISPD98_ibm12.hgr,no,1,2,0.03,1,0.0188812,6.14886,km1,2068,2068,no
KaHyPar-HFC,ISPD98_ibm12.hgr,no,2,2,0.03,1,0.0297147,7.52983,km1,1932,1932,no
KaHyPar-HFC,ISPD98_ibm12.hgr,no,1,32,0.03,1,0.029703,22.985,km1,12228,11451,no
KaHyPar-HFC,ISPD98_ibm12.hgr,no,2,32,0.03,1,0.029703,30.8148,km1,12547,11831,no
KaHyPar-HFC,ISPD98_ibm12.hgr,no,1,8,0.03,1,0.0280248,15.0276,km1,6722,6566,no
KaHyPar-HFC,ISPD98_ibm12.hgr,no,2,8,0.03,1,0.0290377,25.6238,km1,6437,6254,no
KaHyPar-HFC,Ill_Stokes.mtx.hgr,no,1,2,0.03,1,0.0275651,4.5654,km1,1128,1128,no
KaHyPar-HFC,Ill_Stokes.mtx.hgr,no,2,2,0.03,1,0.025268,3.75351,km1,1132,1132,no
KaHyPar-HFC,Ill_Stokes.mtx.hgr,no,1,32,0.03,1,0.0290965,7.39154,km1,7850,7004,no
