algorithm,graph,timeout,seed,k,epsilon,num_threads,imbalance,totalPartitionTime,objective,km1,cut,failed
MT-KaHyPar-D HFC,ISPD98_ibm10.hgr,no,1,2,0.03,8,0.0139997,0.762899,km1,1470,1470,no
MT-KaHyPar-D HFC,ISPD98_ibm10.hgr,no,2,2,0.03,8,0.00789284,1.01375,km1,1483,1483,no
MT-KaHyPar-D HFC,ISPD98_ibm10.hgr,no,1,32,0.03,8,0.0294931,1.62255,km1,10571,9693,no
MT-KaHyPar-D HFC,ISPD98_ibm10.hgr,no,2,32,0.03,8,0.0299539,2.35819,km1,10349,9447,no
MT-KaHyPar-D HFC,ISPD98_ibm10.hgr,no,1,8,0.03,8,0.0285747,1.11426,km1,4593,4384,no
MT-KaHyPar-D HFC,ISPD98_ibm10.hgr,no,2,8,0.03,8,0.0243116,1.50781,km1,4528,4324,no
MT-KaHyPar-D HFC,ISPD98_ibm11.hgr,no,1,2,0.03,8,0.0254259,0.834591,km1,1066,1066,no
MT-KaHyPar-D HFC,ISPD98_ibm11.hgr,no,2,2,0.03,8,0.00926897,1.1594,km1,1072,1072,no
MT-KaHyPar-D HFC,ISPD98_ibm11.hgr,no,1,32,0.03,8,0.0240363,2.09671,km1,8946,8174,no
MT-KaHyPar-D HFC,ISPD98_ibm11.hgr,no,2,32,0.03,8,0.0290249,2.00687,km1,8917,8263,no
MT-KaHyPar-D HFC,ISPD98_ibm11.hgr,no,1,8,0.03,8,0.029932,1.11942,km1,4135,4014,no
MT-KaHyPar-D HFC,ISPD98_ibm11.hgr,no,2,8,0.03,8,0.0285714,1.17147,km1,4106,3971,no
MT-KaHyPar-D HFC,ISPD98_ibm12.hgr,no,1,2,0.03,8,0.0,1.57785,km1,2162,2162,no
MT-KaHyPar-D HFC,ISPD98_ibm12.hgr,no,2,2,0.03,8,0.0,1.23932,km1,2070,2070,no
MT-KaHyPar-D HFC,ISPD98_ibm12.hgr,no,1,32,0.03,8,0.029703,2.63555,km1,12517,11741,no
MT-KaHyPar-D HFC,ISPD98_ibm12.hgr,no,2,32,0.03,8,0.029703,2.62437,km1,12247,11485,no
MT-KaHyPar-D HFC,ISPD98_ibm12.hgr,no,1,8,0.03,8,0.0289252,1.70177,km1,6643,6454,no
MT-KaHyPar-D HFC,ISPD98_ibm12.hgr,no,2,8,0.03,8,0.02296,1.64752,km1,6756,6575,no
MT-KaHyPar-D HFC,Ill_Stokes.mtx.hgr,no,1,2,0.03,8,0.0298622,0.790366,km1,1128,1128,no
MT-KaHyPar-D HFC,Ill_Stokes.mtx.hgr,no,2,2,0.03,8,0.0290965,1.20994,km1,1128,1128,no
MT-KaHyPar-D HFC,Ill_Stokes.mtx.hgr,no,1,32,0.03,8,0.0290965,1.22757,km1,7891,7078,no
MT-KaHyPar-D HFC,Ill_Stokes.mtx.hgr,no,2,32,0.03,8,0.0168453,1.07428,km1,7824,6956,no
MT-KaHyPar-D HFC,Ill_Stokes.mtx.hgr,no,1,8,0.03,8,0.0183767,0.482493,km1,3764,3588,no
